time_s,ue_id,imsi,serving_cell,x_m,y_m,z_m,dl_throughput_mbps,handover_count,rsrp_dbm_cell_1,rsrp_dbm_cell_2,rsrp_dbm_cell_3,rsrp_dbm_cell_4,rsrp_dbm_cell_5,rsrp_dbm_cell_6,rsrp_dbm_cell_7,load_cell_1,load_cell_2,load_cell_3,load_cell_4,load_cell_5,load_cell_6,load_cell_7,ue_count_cell_1,ue_count_cell_2,ue_count_cell_3,ue_count_cell_4,ue_count_cell_5,ue_count_cell_6,ue_count_cell_7
4.000,15,16,4,1313.118,513.279,0.000,0.819,0,-90.713,-84.468,-89.553,-66.228,-84.230,-90.603,-94.819,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,16,17,2,393.261,-271.189,0.000,0.532,0,-73.068,-65.053,-82.754,-84.799,-89.080,-89.769,-87.809,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,17,18,2,660.383,110.836,0.000,0.770,0,-78.568,-58.593,-80.771,-74.339,-83.452,-86.774,-88.404,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,18,19,7,-763.023,60.588,0.000,0.418,0,-80.747,-88.936,-83.031,-94.854,-92.511,-88.221,-74.200,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,19,20,6,80.337,960.912,0.000,0.819,0,-84.514,-85.881,-72.730,-85.569,-71.033,-46.532,-80.221,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,20,21,2,1166.350,-185.512,0.000,0.106,0,-87.822,-79.096,-90.039,-79.416,-90.124,-93.409,-94.717,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,21,22,7,-636.676,890.869,0.000,0.360,0,-86.588,-91.105,-80.352,-93.600,-87.272,-77.981,-70.745,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,22,23,5,1120.542,1256.611,0.000,0.238,0,-93.610,-90.615,-90.030,-80.763,-78.613,-87.381,-94.596,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,23,24,1,-173.597,-13.198,0.000,0.819,0,-56.793,-78.667,-75.116,-89.147,-88.308,-85.557,-77.000,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
4.000,24,25,7,-547.445,12.680,0.000,0.197,0,-75.290,-85.865,-80.040,-93.004,-91.051,-87.086,-73.469,0.025,0.029,0.014,0.036,0.018,0.011,0.024,3,5,2,4,5,2,4
